timestamp,master,export,ch1,ch2,ch3,ch4,ch5,ch6,pv
2026-07-19T15:16:54,9606502,,812001,3009920,1189597,3236679,1399166,398562,45348098
2026-07-19T15:17:27,9606502,,812001,3009920,1189597,3236682,1399166,398562,45348118
2026-07-19T15:17:45,9606502,,812001,3009920,1189597,3236683,1399166,398562,45348130
2026-07-19T15:22:46,9606535,,812005,3009922,1189597,3236708,1399166,398562,45348256
2026-07-19T15:27:46,9606540,,812009,3009924,1189597,3236732,1399166,398562,45348419
2026-07-19T15:32:46,9606540,,812013,3009926,1189597,3236756,1399166,398562,45348621
2026-07-19T15:37:46,9606540,,812016,3009927,1189597,3236783,1399166,398562,45348813
2026-07-19T15:42:46,9606540,,812020,3009929,1189597,3236810,1399166,398562,45348997
2026-07-19T15:47:47,9606540,,812024,3009932,1189597,3236837,1399166,398562,45349186
2026-07-19T15:52:47,9606540,,812028,3009933,1189597,3236864,1399166,398562,45349379
2026-07-19T15:57:47,9606540,,812031,3009935,1189597,3236891,1399166,398562,45349565
2026-07-19T16:02:47,9606540,,812031,3009938,1189597,3236919,1399166,398562,45349738
2026-07-19T16:07:48,9606540,,812031,3009941,1189597,3236947,1399166,398562,45349899
2026-07-19T16:12:48,9606540,,812031,3009944,1189597,3236976,1399166,398562,45350057
2026-07-19T16:17:48,9606540,,812031,3009946,1189597,3237004,1399166,398562,45350207
2026-07-19T16:22:48,9606540,,812031,3009948,1189597,3237033,1399166,398562,45350353
2026-07-19T16:24:55,9606540,39677245,812031,3009949,1189597,3237045,1399166,398562,45350412
2026-07-19T16:25:10,9606540,39677248,812031,3009949,1189597,3237047,1399166,398562,45350418
2026-07-19T16:30:10,9606540,39677314,812031,3009951,1189597,3237075,1399166,398562,45350554
2026-07-19T16:35:10,9606540,39677373,812031,3009953,1189597,3237103,1399166,398562,45350683
2026-07-19T16:40:11,9606540,39677431,812031,3009955,1189597,3237131,1399166,398562,45350807
2026-07-19T16:45:11,9606540,39677482,812031,3009957,1189597,3237157,1399166,398562,45350924
2026-07-19T16:50:11,9606540,39677527,812031,3009959,1189597,3237181,1399166,398562,45351034
2026-07-19T16:55:11,9606540,39677567,812031,3009960,1189597,3237206,1399166,398562,45351140
2026-07-19T17:00:12,9606540,39677601,812031,3009962,1189597,3237230,1399166,398562,45351240
2026-07-19T17:05:12,9606540,39677630,812031,3009963,1189597,3237253,1399166,398562,45351336
2026-07-19T17:10:12,9606540,39677656,812031,3009965,1189597,3237277,1399166,398562,45351427
